FileName,JobID,JobName,Partition,State,ExitCode,Start,End,Elapsed,NCPUS,NNodes,NodeList,ReqMem,MaxRSS,AllocCPUS,Timelimit,TotalCPU
2 2 3_1 1 1_1 1 1_1 1 1_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_1000_sims.log,500124,port_elec+,batch,COMPLETED,0:0,2024-02-07T01:21:51,2024-02-07T02:33:52,01:12:01,8,4,c1cmp[019-022],120G,552276K,8,2-00:00:00,01:11:52
2 2 3_1 1 1_1 1 1_1 2 2_0.4 0.3 0.3_0.3 0.4 0.3_0.3 0.3 0.4_with_1000_sims.log,505876,port_elec+,batch,COMPLETED,0:0,2024-02-07T03:22:43,2024-02-07T04:46:53,01:24:10,8,4,"c1cmp[023-024,+",120G,862568K,8,2-00:00:00,01:24:00
2 2 3_1 1 1_1 1 1_1 2 2_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_1000_sims.log,505878,port_elec+,batch,COMPLETED,0:0,2024-02-07T03:43:58,2024-02-07T04:56:53,01:12:55,8,4,"c1cmp[006-008,+",120G,540384K,8,2-00:00:00,01:12:46
2 2 3_1 2 2_2 2 1_1 2 2_0.8 0.1 0.1_0.1 0.45 0.45_0.1 0.45 0.45_with_1000_sims.log,505903,port_elec+,batch,COMPLETED,0:0,2024-02-07T06:58:49,2024-02-07T08:10:18,01:11:29,8,4,"c1cmp008,p1cmp+",120G,707664K,8,2-00:00:00,01:11:19
2 3 2_1 1 1_1 1 1_1 1 1_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_1000_sims.log,500125,port_elec+,batch,COMPLETED,0:0,2024-02-07T01:21:51,2024-02-07T02:36:48,01:14:57,8,4,c1cmp[019-022],120G,592356K,8,2-00:00:00,01:14:49
2 3 2_1 1 1_1 1 1_1 2 2_0.4 0.3 0.3_0.3 0.4 0.3_0.3 0.3 0.4_with_1000_sims.log,505879,port_elec+,batch,COMPLETED,0:0,2024-02-07T03:44:29,2024-02-07T05:12:37,01:28:08,8,4,"c1cmp[006-008,+",120G,906956K,8,2-00:00:00,01:28:05
2 3 2_1 1 1_1 1 1_1 2 2_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_1000_sims.log,505881,port_elec+,batch,COMPLETED,0:0,2024-02-07T03:53:05,2024-02-07T05:00:24,01:07:19,8,4,"c1cmp[011,014-+",120G,597756K,8,2-00:00:00,01:07:08
2 3 2_1 2 2_2 2 1_1 2 2_0.8 0.1 0.1_0.1 0.45 0.45_0.1 0.45 0.45_with_1000_sims.log,505906,port_elec+,batch,COMPLETED,0:0,2024-02-07T07:12:53,2024-02-07T08:33:49,01:20:56,8,4,c1cmp[006-008]+,120G,737960K,8,2-00:00:00,01:20:47
2 3 7_1 1 1_1 1 1_1 1 1_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_1000_sims.log,500127,port_elec+,batch,COMPLETED,0:0,2024-02-07T01:21:51,2024-02-07T03:43:57,02:22:06,8,4,"c1cmp[006-008,+",120G,2710068K,8,2-00:00:00,02:21:58
2 3 7_1 1 1_1 1 1_1 2 2_0.4 0.3 0.3_0.3 0.4 0.3_0.3 0.3 0.4_with_1000_sims.log,505885,port_elec+,batch,COMPLETED,0:0,2024-02-07T04:44:49,2024-02-07T06:58:28,02:13:39,8,4,c1cmp[014-015]+,120G,2831812K,8,2-00:00:00,02:13:19
2 3 7_1 1 1_1 1 1_1 2 2_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_1000_sims.log,505887,port_elec+,batch,COMPLETED,0:0,2024-02-07T04:46:53,2024-02-07T07:03:52,02:16:59,8,4,c1cmp[023-024]+,120G,2700608K,8,2-00:00:00,02:16:46
2 5 5_1 1 1_1 1 1_1 1 1_0.4 0.3 0.3_0.3 0.4 0.3_0.3 0.3 0.4_with_1000_sims.log,530600,port_elec+,batch,COMPLETED,0:0,2024-02-07T11:31:24,2024-02-07T14:00:58,02:29:34,8,4,c1cmp[019-022],120G,2816952K,8,2-00:00:00,02:29:20
2 5 5_1 1 1_1 1 1_1 1 1_0.45 0.45 0.1_0.45 0.45 0.1_0.1 0.1 0.8_with_1000_sims.log,530625,port_elec+,batch,COMPLETED,0:0,2024-02-07T14:51:44,2024-02-07T16:32:44,01:41:00,8,4,"c1cmp003,p1cmp+",120G,2742448K,8,2-00:00:00,01:40:51
